phylum	phylum.vs.div.Pvalue	phylum.vs.div.corvect	color
Parcubacteria	0.000386867	0.491661607	red
Candidate.division.WS6	0.002377315	0.428500584	red
Thermotogae	0.003110052	0.418043139	red
Spirochaetae	0.003344812	0.41515323	red
Gracilibacteria	0.010142198	0.367676844	red
Hydrogenedentes	0.064048511	0.269425958	red
Microgenomates	0.07994048	0.255262652	red
SM2F11	0.087146862	0.249564864	red
TM6	0.13193779	0.220571308	grey
Atribacteria	0.215965657	0.181893152	grey
Elusimicrobia	0.245688238	0.170827309	grey
Firmicutes	0.248798847	-0.169723228	grey
Armatimonadetes	0.287070705	-0.156838195	grey
Chlamydiae	0.32072127	-0.146408936	grey
Planctomycetes	0.328711706	0.144036103	grey
JL.ETNP.Z39	0.359107509	-0.135324055	grey
Candidate.division.OP3	0.368428322	-0.132743557	grey
Nitrospirae	0.418014137	-0.119627557	grey
Actinobacteria	0.42653426	-0.117466264	grey
Proteobacteria	0.441959096	0.113614373	grey
Unclassified	0.462754937	-0.108536966	grey
Aminicenantes	0.526736129	0.09363219	grey
WD272.1	0.589681347	0.079820605	grey
Saccharibacteria	0.599046825	0.077824788	grey
Chlorobi	0.618781163	0.07366331	grey
TA06	0.633117376	-0.070675349	grey
Omnitrophica	0.635909057	0.070096774	grey
SHA.109	0.668763151	0.063362364	grey
Gemmatimonadetes	0.67264762	0.062574715	grey
Tenericutes	0.71364172	0.054361246	grey
Deinococcus.Thermus	0.750523413	0.047108299	grey
Fibrobacteres	0.774880995	0.042378544	grey
WCHB1.60	0.797956431	-0.037936061	grey
Bacteroidetes	0.804802705	-0.036624511	grey
Verrucomicrobia	0.834741666	0.030920159	grey
Cyanobacteria	0.842509961	-0.029447584	grey
Latescibacteria	0.887904401	0.020893848	grey
Candidate.division.SR1	0.900947892	0.018449643	grey
WD272	0.966081717	-0.006303787	grey
Chloroflexi	0.97838893	0.004015769	grey
